BJD,Flux,Flux_unc
1712.0265698720198,152535.88,44.703255
1712.0279587612351,152412.64,44.681396
1712.029347650451,152450.6,44.71225
1712.0307365396668,152578.36,44.70683
1712.032125428882,152406.38,44.70713
1712.0335143178652,152551.72,44.73406
1712.0349032070817,152449.78,44.711803
1712.0362920962975,152625.84,44.707226
1712.0376809855127,152437.12,44.70504
1712.0390698747278,152357.4,44.672134
1712.040458763944,152544.22,44.72234
1712.041847652927,152525.69,44.714634
1712.043236542142,152469.4,44.712738
1712.0446254313572,152440.45,44.69387
1712.046014320574,152502.52,44.72751
1712.0474032095576,152485.86,44.722374
1712.0487920987728,152546.98,44.71647
1712.050180987988,152465.78,44.713337
1712.051569877204,152439.39,44.71307
1712.052958766187,152480.28,44.73315
1712.0543476554021,152657.72,44.74
1712.0557365446173,152661.45,44.700478
1712.057125433601,152461.58,44.710064
1712.0585143228175,152586.64,44.72141
1712.0599032120329,152526.02,44.71602
1712.0612921010152,152493.94,44.710484
1712.062680990231,152525.4,44.688316
1712.0640698792142,152555.5,44.706165
1712.0654587684294,152509.81,44.725792
1712.0668476576445,152588.11,44.71077
1712.0682365466275,152490.86,44.7036
1712.0696254358443,152598.72,44.740395
1712.0710143248273,152566.72,44.72797
1712.0724032140424,152444.5,44.68816
1712.0737921030254,152448.31,44.726265
1712.0751809922413,152453.25,44.724297
1712.0765698812236,152481.78,44.693554
1712.079347659422,152584.03,44.72083
1712.0807365486378,152458.94,44.70947
1712.0821254376208,152526.81,44.728252
1712.0835143268368,152422.08,44.700756
1712.0849032158198,152537.67,44.695583
1712.0862921048029,152501.17,44.731945
1712.087680994018,152524.38,44.744827
1712.0890698830005,152525.72,44.71204
1712.0904587722164,152545.53,44.738995
1712.0918476611994,152509.66,44.724236
1712.0932365501817,152522.52,44.72502
1712.0946254393978,152505.64,44.710262
1712.0960143283814,152560.75,44.722145
1712.0974032173644,152431.3,44.720325
1712.0987921065796,152540.7,44.720528
1712.1001809955621,152519.6,44.72138
1712.1015698845451,152529.56,44.73449
1712.102958773761,152482.08,44.715527
1712.1043476627433,152501.11,44.72502
1712.1057365517265,152527.69,44.723545
1712.1071254407102,152473.62,44.715054
1712.108514329926,152527.34,44.725098
1712.1099032189084,152456.7,44.719513
1712.1112921078907,152658.95,44.7369
1712.112680996874,152538.6,44.727486
1712.1140698860897,152540.55,44.722404
1712.115458775072,152636.81,44.733955
1712.1168476640544,152420.83,44.66713
1712.1182365530383,152459.75,44.71875
1712.119625442022,152489.39,44.71323
1712.1210143310043,152510.64,44.72836
1712.1224032202194,152544.16,44.71677
1712.1237921092027,152524.42,44.719807
1712.1251809981857,152378.31,44.68902
1712.126569887168,152465.72,44.70613
1712.1279587761503,152620.62,44.719215
1712.1293476651333,152480.23,44.706905
1712.1307365541172,152462.75,44.71635
1712.1321254431002,152599.11,44.72549
1712.1335143320825,152442.44,44.697926
1712.1349032210655,152479.6,44.7176
1712.1362921100488,152481.53,44.71695
1712.137680999031,152448.06,44.70798
1712.1390698880134,152500.4,44.718025
1712.1404587769964,152547.34,44.72195
1712.1418476659803,152458.9,44.710625
1712.1432365549633,152580.22,44.740547
1712.1446254439456,152491.64,44.723854
1712.1460143329286,152484.48,44.729485
1712.1474032219116,152535.8,44.71548
1712.1487921108949,152470.92,44.722767
1712.1501809998772,152575.4,44.723957
1712.1515698888595,152605.8,44.72972
1712.1529587778425,152527.33,44.716995
1712.1543476668264,152554.16,44.723553
1712.1557365558094,152520.06,44.726814
1712.157125444559,152530.17,44.74812
1712.158514333542,152462.86,44.715794
1712.1599032225251,152533.53,44.71419
1712.1612921115075,152385.48,44.690315
1712.1626810004898,152448.69,44.712105
1712.1640698894728,152547.62,44.712906
1712.165458778223,152450.12,44.717278
1712.166847667206,152619.25,44.733135
1712.1682365561892,152430.81,44.706165
1712.1696254451722,152481.19,44.71089
1712.1710143341552,152531.64,44.71313
1712.1724032229047,152546.42,44.716255
1712.1737921118872,152587.84,44.73116
1712.1751810008702,152526.08,44.71919
1712.1765698898532,152534.53,44.72997
1712.1779587786027,152542.97,44.70919
